INDEX,YEAR,DATE,ALL,HS,SC,BAP,BAO,GD,POOR,MID,RICH
1,1960,1960-01-01,0.034444543589466,0.0348888663159724,0.0336693781883359,0.027512772738678,0.027512772738678,0.09121458970150165,0.0719513582147615,0.0212253002390423,0.022562334327183
2,1970,1970-01-01,0.0492560035358248,0.0499998424010515,0.0487054867093564,0.0412594544063908,0.0412594544063908,0.09121458970150165,0.113735815471334,0.0303010385171553,0.021927072112998
3,1980,1980-01-01,0.106005034522198,0.104151278087304,0.112699470963608,0.0977720774973882,0.0977720774973882,0.09121458970150165,0.241647046196983,0.0736715360660329,0.0350152130668
4,1990,1990-01-01,0.150804953596595,0.159380946957268,0.169670046803153,0.114955328208071,0.118534321492872,0.109145367174924,0.32694838887586,0.111909686072592,0.0497252733734265
5,2000,2000-01-01,0.15684098529054,0.175446156982954,0.173803243557511,0.10561771655104,0.110539691448389,0.095903467153663,0.343088593206452,0.116583707085732,0.0493949670298705
6,2001,2001-01-01,0.15730639382937,0.174116037641218,0.178169064539992,0.107038860737608,0.111860641782045,0.0971969197158638,0.34283554237106,0.122780629168572,0.0405743132014189
7,2002,2002-01-01,0.156508246458199,0.174769314328559,0.179294187163752,0.103442190655695,0.109689561340355,0.0907625545403924,0.341088263713535,0.119926419680215,0.0387962061798601
8,2003,2003-01-01,0.1538435136615,0.172544834700036,0.176975360253417,0.102549903857769,0.11068292244583,0.0863848592930253,0.333104884196253,0.121047473816484,0.0392621513859105
9,2004,2004-01-01,0.154840964899372,0.177564545613702,0.177079546954962,0.100336652484701,0.105989518515739,0.0891138784433462,0.334327693500092,0.121930135877747,0.0367959201226659
10,2005,2005-01-01,0.15291993774865,0.17516352826892,0.176742649953406,0.0994806594731031,0.107114958833396,0.0849920486751903,0.329073677089017,0.12240404139335,0.0370705176365396
11,2006,2006-01-01,0.161889856426113,0.18943672859424,0.184120975760802,0.103835499536681,0.11085832836183,0.0905026867922386,0.337166648232958,0.126108610121298,0.0578947923558142
12,2007,2007-01-01,0.160468871507897,0.187216410920835,0.184960860450715,0.103929415650389,0.111882333797897,0.0890504271220898,0.335230248551718,0.122208582586603,0.058168870384654
13,2008,2008-01-01,0.161158757911991,0.18837663464662,0.189449980962628,0.10201919444464,0.111152886040422,0.085194381318445,0.333739463803356,0.124718311629324,0.0603356989106536
14,2009,2009-01-01,0.160493094949928,0.186987579034161,0.190136258416081,0.101942606931431,0.111839066368332,0.0843930743040483,0.330014934985054,0.124684182307183,0.0599752577101723
15,2010,2010-01-01,0.163651085518297,0.189895803857904,0.197269447478601,0.103063846911137,0.111631705884909,0.0881674216835839,0.3287240690071,0.133819591445227,0.0577613502572121
16,2011,2011-01-01,0.166302830671715,0.192398917305487,0.200458832860299,0.107760526453441,0.117283667870808,0.091883494518276,0.329541439959885,0.138364058353959,0.0588144839744321
17,2012,2012-01-01,0.165486445902897,0.190206333214362,0.203176485927978,0.107406661717148,0.115291876116556,0.0943136750859363,0.331560374287356,0.133077363594362,0.0563549917439777
